GenbankID,GeneName,GeneCategory,Replicate,10,11,9
170728841,MFS_antibiotic,Antibiotic resistance,1,NA,3003.9744,NA
86167529,B_lactamase,Antibiotic resistance,1,NA,4721.8617,2639.6651
83650966,B_lactamase_A,Antibiotic resistance,1,NA,3611.0312,NA
197776875,MFS_antibiotic,Antibiotic resistance,1,NA,8087.7389,NA
123440743,SMR_antibiotics,Antibiotic resistance,1,NA,5576.836,NA
8546876,SMR_antibiotics,Antibiotic resistance,1,NA,10527.5102,NA
125497879,MATE_antibiotic,Antibiotic resistance,1,NA,10040.2664,3447.0478
115525052,SMR_antibiotics,Antibiotic resistance,1,NA,3733.2914,NA
150028091,SMR_antibiotics,Antibiotic resistance,1,NA,5518.1763,NA
113868272,MFS_antibiotic,Antibiotic resistance,1,NA,5135.8551,NA
13093494,SMR_antibiotics,Antibiotic resistance,1,NA,4216.697,NA
150954317,ABC_antibiotic_transporter,Antibiotic resistance,1,NA,4485.3448,NA
188534199,MFS_antibiotic,Antibiotic resistance,1,NA,32356.1876,NA
67479935,Van,Antibiotic resistance,1,NA,5900.4226,NA
56678636,SMR_antibiotics,Antibiotic resistance,1,NA,15373.2818,3437.8016
152025367,SMR_antibiotics,Antibiotic resistance,1,NA,3838.3173,NA
110340621,SMR_antibiotics,Antibiotic resistance,1,NA,7663.3441,NA
151561149,Tet,Antibiotic resistance,1,NA,2891.28,NA
126651415,SMR_antibiotics,Antibiotic resistance,1,NA,3427.9997,NA
13474034,MFS_antibiotic,Antibiotic resistance,1,NA,2895.0136,NA
14486653,B_lactamase_A,Antibiotic resistance,1,NA,2179.3172,NA
114540837,SMR_antibiotics,Antibiotic resistance,1,NA,2359.7232,NA
7208642,B_lactamase_C,Antibiotic resistance,1,NA,5687.3966,2343.4468
114335877,SMR_antibiotics,Antibiotic resistance,1,NA,3084.4904,NA
108768604,SMR_antibiotics,Antibiotic resistance,1,NA,11138.9969,NA
119868942,SMR_antibiotics,Antibiotic resistance,1,NA,3253.6036,NA
7328118,B_lactamase_C,Antibiotic resistance,1,NA,4743.1049,NA
54303519,MFS_antibiotic,Antibiotic resistance,1,NA,4305.8834,NA
145564512,SMR_antibiotics,Antibiotic resistance,1,NA,5955.8975,NA
85668384,SMR_antibiotics,Antibiotic resistance,1,NA,3112.2391,NA
115258076,SMR_antibiotics,Antibiotic resistance,1,NA,2638.2655,NA
158331884,MFS_antibiotic,Antibiotic resistance,1,NA,3322.1635,NA
144899429,MATE_antibiotic,Antibiotic resistance,1,NA,7039.3895,2141.035
113953939,SMR_antibiotics,Antibiotic resistance,1,NA,3056.1055,3244.2124
70905571,SMR_antibiotics,Antibiotic resistance,1,NA,2880.0159,2057.6539
206567762,MFS_antibiotic,Antibiotic resistance,1,NA,4366.292,NA
193078051,MATE_antibiotic,Antibiotic resistance,1,NA,15201.3148,NA
83955448,SMR_antibiotics,Antibiotic resistance,1,NA,3897.8287,3185.6729
152989417,SMR_antibiotics,Antibiotic resistance,1,NA,3064.387,NA
170768798,MATE_antibiotic,Antibiotic resistance,1,NA,19306.6492,2168.3748
189909721,MATE_antibiotic,Antibiotic resistance,1,NA,13681.5372,NA
52347680,SMR_antibiotics,Antibiotic resistance,1,NA,3953.7866,4844.6992
89051941,MFS_antibiotic,Antibiotic resistance,1,NA,3061.4011,NA
157144974,MFS_antibiotic,Antibiotic resistance,1,NA,10958.219,NA
114776420,MFS_antibiotic,Antibiotic resistance,1,NA,2310.8841,NA
71557571,MATE_antibiotic,Antibiotic resistance,1,NA,6570.1562,NA
133737265,SMR_antibiotics,Antibiotic resistance,1,NA,3155.7211,NA
142850623,SMR_antibiotics,Antibiotic resistance,1,NA,7354.2563,2723.8631
48728356,B_lactamase_C,Antibiotic resistance,1,NA,2797.2682,NA
182437183,SMR_antibiotics,Antibiotic resistance,1,NA,8557.7128,NA
169629725,SMR_antibiotics,Antibiotic resistance,1,NA,7986.17,NA
70734118,SMR_antibiotics,Antibiotic resistance,1,NA,3665.8432,NA
122089325,SMR_antibiotics,Antibiotic resistance,1,NA,3511.6541,NA
146337184,MATE_antibiotic,Antibiotic resistance,1,NA,4194.777,NA
169759678,MFS_antibiotic,Antibiotic resistance,1,NA,17611.9614,NA
118170938,SMR_antibiotics,Antibiotic resistance,1,NA,4131.5221,NA
89075780,B_lactamase_A,Antibiotic resistance,1,NA,3825.9122,NA
125717962,MATE_antibiotic,Antibiotic resistance,1,NA,3234.5194,NA
145572336,SMR_antibiotics,Antibiotic resistance,1,NA,2398.528,NA
118591860,SMR_antibiotics,Antibiotic resistance,1,NA,5121.9355,NA
4218927,B_lactamase,Antibiotic resistance,1,NA,3414.7284,NA
88787176,SMR_antibiotics,Antibiotic resistance,1,NA,3748.6257,NA
84625588,SMR_antibiotics,Antibiotic resistance,1,NA,17664.1792,NA
32476773,Mex,Antibiotic resistance,1,NA,7710.9205,2618.2032
126179448,SMR_antibiotics,Antibiotic resistance,1,NA,1921.0804,NA
10173299,SMR_antibiotics,Antibiotic resistance,1,NA,2892.006,4137.6413
110678893,Mex,Antibiotic resistance,1,NA,3046.072,NA
15141294,MFS_antibiotic,Antibiotic resistance,1,NA,6568.5002,NA
192808655,Tet,Antibiotic resistance,1,NA,6681.9169,NA
168699612,Mex,Antibiotic resistance,1,NA,6272.2915,NA
14524221,B_lactamase_A,Antibiotic resistance,1,NA,5881.103,4242.8964
30962005,B_lactamase_C,Antibiotic resistance,1,NA,9307.3253,3153.2885
170124223,SMR_antibiotics,Antibiotic resistance,1,NA,4385.079,NA
94310714,B_lactamase_C,Antibiotic resistance,1,NA,7814.0348,2881.666
84508757,SMR_antibiotics,Antibiotic resistance,1,NA,NA,3205.2466
167644962,B_lactamase_A,Antibiotic resistance,1,NA,NA,2431.8187
167573108,MFS_antibiotic,Antibiotic resistance,1,NA,NA,1666.3139
120554008,B_lactamase_A,Antibiotic resistance,1,NA,NA,4327.3419
198282574,MFS_antibiotic,Antibiotic resistance,1,NA,NA,14794.3836
187922644,MFS_antibiotic,Antibiotic resistance,1,NA,NA,2031.1874
170721562,B_lactamase_C,Antibiotic resistance,1,NA,NA,2248.4351
83756626,MATE_antibiotic,Antibiotic resistance,1,NA,NA,4012.9236
154706990,MFS_antibiotic,Antibiotic resistance,1,NA,NA,3450.7529
48857,B_lactamase,Antibiotic resistance,1,NA,NA,1775.7738
49531793,MATE_antibiotic,Antibiotic resistance,1,NA,NA,1825.719
150396237,SMR_antibiotics,Antibiotic resistance,1,NA,NA,2139.6552
113868565,SMR_antibiotics,Antibiotic resistance,1,NA,NA,3075.3459
170122346,MATE_antibiotic,Antibiotic resistance,1,NA,NA,13344.3462
68568050,MFS_antibiotic,Antibiotic resistance,1,NA,NA,2988.9896
197243797,MFS_antibiotic,Antibiotic resistance,1,NA,NA,2036.518
77967181,MFS_antibiotic,Antibiotic resistance,1,NA,NA,2173.7357
14027562,MFS_antibiotic,Antibiotic resistance,1,NA,NA,2620.5329
189346607,SMR_antibiotics,Antibiotic resistance,1,NA,NA,2844.7167
115257549,B_lactamase_C,Antibiotic resistance,1,NA,NA,4685.4354
70731410,B_lactamase_C,Antibiotic resistance,1,NA,NA,4183.3898
197286791,MFS_antibiotic,Antibiotic resistance,1,NA,NA,67425.5269
77459945,B_lactamase_C,Antibiotic resistance,1,NA,NA,4545.8054
39936964,Mex,Antibiotic resistance,1,NA,NA,1953.8665
124520870,MFS_antibiotic,Antibiotic resistance,1,NA,NA,2026.9182
112955899,endochitinase,Carbon cycling,1,7202.8016,5905.6074,NA
110825410,CDH,Carbon cycling,1,4468.0943,8253.735,4101.1299
30793463,endochitinase,Carbon cycling,1,10413.8093,NA,NA
68056074,pulA,Carbon cycling,1,9258.3458,NA,NA
21929226,mnp,Carbon cycling,1,7331.4986,9863.6302,2496.7638
121553501,pcc,Carbon cycling,1,6383.9294,8081.0761,NA
121495873,phenol_oxidase,Carbon cycling,1,12200.7024,NA,11089.6109
3821797,exochitinase,Carbon cycling,1,13077.1498,15874.7281,7028.9084
27372237,exochitinase,Carbon cycling,1,4335.2352,5545.3951,3691.8663
133778506,endochitinase,Carbon cycling,1,5718.8026,4995.4694,NA
61224796,phenol_oxidase,Carbon cycling,1,13350.6045,NA,NA
