Incubation Replicate,Site,Basin,Substrate,Rate,Unamended control rate,Adjusted Rate,Microarrary Replicate,Unique mcr genes,Quantity mcrgenes,Total Methane (microM),Unamended control total,Adjusted Total
X,11,Cook Inlet gas field,Acetate,0.7919,0.6779,0.114,1,3,74839.7853,8.436814286,7.012628571,1.424185714
O,11,Cook Inlet gas field,Propionate,0.7934,0.572,0.2214,1,3,74839.7853,6.285742857,1.945437143,4.340305714
X,11,Cook Inlet gas field,Propionate,0.8573,0.6779,0.1794,1,3,74839.7853,7.492785714,7.012628571,0.480157143
O,11,Cook Inlet gas field,Butyrate,0.6989,0.572,0.1269,1,3,74839.7853,7.202357143,1.945437143,5.25692
X,11,Cook Inlet gas field,Butyrate,0.7429,0.6779,0.065,1,3,74839.7853,9.8154,7.012628571,2.802771429
O,11,Cook Inlet gas field,Valerate,0.0307,0.572,-0.5413,1,3,74839.7853,2.545342857,1.945437143,0.599905714
X,11,Cook Inlet gas field,Valerate,0.6596,0.6779,-0.0183,1,3,74839.7853,7.834,7.012628571,0.821371429
O,12,Powder River Basin,Formate,0.0237,0.0043,0.0194,1,26,184190.6877,6.716521111,6.219333333,0.497187778
X,12,Powder River Basin,Formate,0.0482,0.2437,-0.1955,1,26,184190.6877,8.363356667,44.51239778,-36.14904111
O,12,Powder River Basin,Acetate,0.736,0.0043,0.7317,1,26,184190.6877,114.1695011,6.219333333,107.9501678
X,12,Powder River Basin,Acetate,0.0542,0.2437,-0.1895,1,26,184190.6877,15.63273556,44.51239778,-28.87966222
O,12,Powder River Basin,Propionate,0.1641,0.0043,0.1598,1,26,184190.6877,53.26417778,6.219333333,47.04484444
X,12,Powder River Basin,Propionate,0.1889,0.2437,-0.0548,1,26,184190.6877,60.87262222,44.51239778,16.36022444
O,12,Powder River Basin,Butyrate,0.1149,0.0043,0.1106,1,26,184190.6877,23.95137889,6.219333333,17.73204556
X,12,Powder River Basin,Butyrate,0.0059,0.2437,-0.2378,1,26,184190.6877,6.840675556,44.51239778,-37.67172222
O,12,Powder River Basin,Valerate,0.2741,0.0043,0.2698,1,26,184190.6877,47.29575556,6.219333333,41.07642222
X,12,Powder River Basin,Valerate,0.0005,0.2437,-0.2432,1,26,184190.6877,0.272266667,44.51239778,-44.24013111
O,13,Powder River Basin,Formate,0.2639,0.2099,0.054,1,21,139690.8809,18.79566556,34.56045111,-15.76478556
X,13,Powder River Basin,Formate,0.231,0.1791,0.0519,1,21,139690.8809,16.27223333,33.42927556,-17.15704222
O,13,Powder River Basin,Acetate,0.2841,0.2099,0.0742,1,21,139690.8809,7.141318889,34.56045111,-27.41913222
X,13,Powder River Basin,Acetate,0.2753,0.1791,0.0962,1,21,139690.8809,11.30681556,33.42927556,-22.12246
