"GeneCategory","Basin","Site","AbundanceMean","AbudanceRelativeToBasinMean","AbudanceRelativeToBasinSE","AbudanceRelativeToBasinList","AbudanceRelativeToBasinCount","SEHigh","SELow","RankWithinCategory","RankWithinSite"
"Nitrogen","Illinois",4,7119.12272611081,0.274236123402029,0.10459643219971,"0.15983026874116-0.297914597815293-0.364963503649635",3,0.37883255560174,0.169639691202319,7,14
"Nitrogen","Illinois",5,9301.77679589243,0.581069416978945,0.049916187475279,"0.611504007543611-0.60824230387289-0.523461939520334",3,0.630985604454224,0.531153229503666,11,4
"Nitrogen","Powder",12,8593.25249718358,0.512735326688815,NA,"0.512735326688815",1,NA,NA,4,15
"Nitrogen","Powder",13,7606.73587608073,0.514396456256921,NA,"0.514396456256921",1,NA,NA,5,9
"Nitrogen","Powder",14,7116.75198137215,0.63233665559247,NA,"0.63233665559247",1,NA,NA,10,15
"Nitrogen","Powder",15,1167.65112277242,0.407530454042082,NA,"0.407530454042082",1,NA,NA,8,4
"Organic Remediation","CookInlet",6,8.77194622573688,0.660180351210252,NA,"0.660180351210252",1,NA,NA,1,9
"Organic Remediation","CookInlet",8,9.28916179039301,0.652112007593735,NA,"0.652112007593735",1,NA,NA,2,2
"Organic Remediation","CookInlet",9,4556.81947388535,0.149027052681538,NA,"0.149027052681538",1,NA,NA,14,11
"Organic Remediation","CookInlet",10,10566.5004262673,0.102990033222591,NA,"0.102990033222591",1,NA,NA,6,10
"Organic Remediation","CookInlet",11,7891.23937185554,0.381110583768391,NA,"0.381110583768391",1,NA,NA,3,6
"Organic Remediation","Illinois",1,3145.20349824483,0.250765867467771,0.0596336689745043,"0.185289075892161-0.26504439329168-0.301964133219471",3,0.310399536442275,0.191132198493267,9,1
"Organic Remediation","Illinois",2,9578.9644841636,0.585309102168826,0.0439048917072457,"0.54043945769051-0.587306806971391-0.628181041844577",3,0.629213993876072,0.54140421046158,12,4
"Organic Remediation","Illinois",3,15848.5665432987,0.751452959752005,0.0191679905367631,"0.772011843540595-0.74827359421243-0.734073441502989",3,0.770620950288768,0.732284969215242,5,15
"Organic Remediation","Illinois",4,7456.74332214708,0.307165186126256,0.121186961161733,"0.171887174692224-0.34380138112463-0.405807002561913",3,0.428352147287989,0.185978224964522,13,9
"Organic Remediation","Illinois",5,11344.1545697324,0.601681972354479,0.0524890581918357,"0.631447717001714-0.63252219664584-0.541076003415884",3,0.654171030546315,0.549192914162644,7,1
"Organic Remediation","Powder",12,9689.68670752229,0.54549138804458,NA,"0.54549138804458",1,NA,NA,11,9
"Organic Remediation","Powder",13,7624.15580588829,0.524214792299899,NA,"0.524214792299899",1,NA,NA,4,11
"Organic Remediation","Powder",14,8255.94297694675,0.658358662613982,NA,"0.658358662613982",1,NA,NA,10,11
"Organic Remediation","Powder",15,1291.6936457383,0.337588652482269,NA,"0.337588652482269",1,NA,NA,8,1
"Phosphorus","CookInlet",6,8.87486419753086,0.6328125,NA,"0.6328125",1,NA,NA,1,10
"Phosphorus","CookInlet",8,9.40354285714286,0.65625,NA,"0.65625",1,NA,NA,2,1
"Phosphorus","CookInlet",9,3887.6928,0.2109375,NA,"0.2109375",1,NA,NA,14,4
"Phosphorus","CookInlet",10,13338.6172529412,0.1328125,NA,"0.1328125",1,NA,NA,3,4
"Phosphorus","CookInlet",11,8297.79173846154,0.40625,NA,"0.40625",1,NA,NA,6,4
"Phosphorus","Illinois",1,4139.46314921048,0.262951146681576,0.0560526479143304,"0.210659898477157-0.256064690026954-0.322128851540616",3,0.319003794595906,0.206898498767246,12,8
"Phosphorus","Illinois",2,10322.9309678968,0.604041910478076,0.0200899186371749,"0.581218274111675-0.611859838274933-0.619047619047619",3,0.624131829115251,0.583951991840901,5,14
"Phosphorus","Illinois",3,13781.5045329851,0.739969269321878,0.0209240236721318,"0.763959390862944-0.730458221024259-0.725490196078431",3,0.76089329299401,0.719045245649746,9,4
"Phosphorus","Illinois",4,8337.70748318003,0.298568113514282,0.107268816453092,"0.180203045685279-0.326145552560647-0.389355742296919",3,0.405836929967374,0.19129929706119,13,6
"Phosphorus","Illinois",5,12047.424811943,0.595396336231393,0.0412596496623378,"0.609137055837564-0.628032345013477-0.549019607843137",3,0.636655985893731,0.554136686569055,11,14
"Phosphorus","Powder",12,9519.59243172043,0.558558558558559,NA,"0.558558558558559",1,NA,NA,7,11
"Phosphorus","Powder",13,7864.44452774566,0.519519519519519,NA,"0.519519519519519",1,NA,NA,10,10
"Phosphorus","Powder",14,8851.50703796296,0.648648648648649,NA,"0.648648648648649",1,NA,NA,4,14
"Phosphorus","Powder",15,1949.10636446281,0.363363363363363,NA,"0.363363363363363",1,NA,NA,8,9
"Stress","Illinois",1,2932.9145598903,0.238009021666147,0.0574688633327835,"0.175690406976744-0.249420849420849-0.288915808600848",3,0.295477884998931,0.180540158333364,9,9
"Stress","Illinois",2,9149.76897949528,0.570531010309954,0.0459378887107804,"0.520893895348837-0.579150579150579-0.611548556430446",3,0.616468899020735,0.524593121599174,1,9
"Stress","Illinois",3,15000.8837274221,0.729939970203315,0.0180095377242387,"0.749636627906977-0.725868725868726-0.714314556834242",3,0.747949507927553,0.711930432479076,4,11
"Stress","Illinois",4,7177.08443244922,0.295727003958956,0.112925250243589,"0.172420058139535-0.320656370656371-0.394104583080961",3,0.408652254202544,0.182801753715367,7,1
"Stress","Illinois",5,10756.117961201,0.583835130435455,0.0470027847165819,"0.603561046511628-0.617760617760618-0.530183727034121",3,0.630837915152037,0.536832345718874,8,6
"Stress","Powder",12,9775.98231480819,0.524904214559387,NA,"0.524904214559387",1,NA,NA,2,4
"Stress","Powder",13,7626.92103469528,0.518305661983823,NA,"0.518305661983823",1,NA,NA,6,15
"Stress","Powder",14,7798.87473957124,0.628991060025543,NA,"0.628991060025543",1,NA,NA,5,9
"Stress","Powder",15,1299.76677508571,0.372498935717327,NA,"0.372498935717327",1,NA,NA,3,11
